time_bin,label,source
2020-04-02 18:35:00,,mis/imp
2020-04-02 18:50:00,,mis/imp
2020-04-02 19:05:00,0.0,obs
2020-04-02 19:20:00,,mis/imp
2020-04-02 19:35:00,,mis/imp
2020-04-02 19:50:00,,mis/imp
2020-04-02 20:05:00,0.0,obs
2020-04-02 20:20:00,,mis/imp
2020-04-02 20:35:00,,mis/imp
2020-04-02 20:50:00,,mis/imp
2020-04-03 07:05:00,0.0,obs
2020-04-03 07:20:00,0.0,mis/imp
2020-04-03 07:35:00,0.0,mis/imp
2020-04-03 07:50:00,,mis/imp
2020-04-03 08:05:00,,mis/imp
2020-04-03 08:20:00,,mis/imp
2020-04-03 08:35:00,0.0,mis/imp
2020-04-03 08:50:00,0.0,obs
2020-04-03 09:05:00,0.0,mis/imp
2020-04-03 09:20:00,0.0,mis/imp
2020-04-03 09:35:00,,mis/imp
2020-04-03 09:50:00,0.0,mis/imp
2020-04-03 10:05:00,0.0,obs
2020-04-03 10:20:00,0.0,mis/imp
2020-04-03 10:35:00,0.0,mis/imp
2020-04-03 10:50:00,,mis/imp
2020-04-03 11:05:00,,mis/imp
2020-04-03 11:20:00,,mis/imp
2020-04-03 11:35:00,,mis/imp
2020-04-03 11:50:00,,mis/imp
2020-04-03 12:05:00,,mis/imp
2020-04-03 12:20:00,,mis/imp
2020-04-03 12:35:00,,mis/imp
2020-04-03 12:50:00,,mis/imp
2020-04-03 13:05:00,,mis/imp
2020-04-03 13:20:00,,mis/imp
2020-04-03 13:35:00,,mis/imp
2020-04-03 13:50:00,,mis/imp
2020-04-03 14:05:00,,mis/imp
2020-04-03 14:20:00,,mis/imp
2020-04-03 14:35:00,,mis/imp
2020-04-03 14:50:00,,mis/imp
2020-04-03 15:05:00,,mis/imp
2020-04-03 15:20:00,,mis/imp
2020-04-03 15:35:00,,mis/imp
2020-04-03 15:50:00,,mis/imp
2020-04-03 16:05:00,,mis/imp
2020-04-03 16:20:00,,mis/imp
2020-04-03 16:35:00,,mis/imp
2020-04-03 16:50:00,,mis/imp
2020-04-03 17:05:00,,mis/imp
2020-04-03 17:20:00,,mis/imp
2020-04-03 17:35:00,,mis/imp
2020-04-03 17:50:00,,mis/imp
2020-04-03 18:05:00,,mis/imp
2020-04-03 18:20:00,,mis/imp
2020-04-03 18:35:00,,mis/imp
2020-04-03 18:50:00,,mis/imp
2020-04-03 19:05:00,,mis/imp
2020-04-03 19:20:00,,mis/imp
2020-04-03 19:35:00,0.0,mis/imp
2020-04-03 19:50:00,0.0,obs
2020-04-03 20:05:00,0.0,mis/imp
2020-04-03 20:20:00,0.0,mis/imp
2020-04-03 20:35:00,,mis/imp
2020-04-03 20:50:00,,mis/imp
2020-04-04 07:05:00,0.0,mis/imp
2020-04-04 07:20:00,0.0,obs
2020-04-04 07:35:00,0.0,mis/imp
2020-04-04 07:50:00,0.0,mis/imp
2020-04-04 08:05:00,,mis/imp
2020-04-04 08:20:00,,mis/imp
2020-04-04 08:35:00,,mis/imp
2020-04-04 08:50:00,,mis/imp
2020-04-04 09:05:00,,mis/imp
2020-04-04 09:20:00,,mis/imp
2020-04-04 09:35:00,1.0,mis/imp
2020-04-04 09:50:00,0.5,obs
2020-04-04 10:05:00,1.0,mis/imp
2020-04-04 10:20:00,1.0,mis/imp
2020-04-04 10:35:00,1.0,mis/imp
2020-04-04 10:50:00,0.5,obs
